code,level,sub county,district_code,registered_voters,abed_bwanika,amama_mbabazi,baryamureeba_venansius,benon_biraaro,kizza_besigye,joseph_mabirizi,moureen_kyalya,yoweri_museveni,invalid
1014,sub county,Kabwangasi,76,12129,77,83,94,19,3497,24,23,3994,387
2019,sub county,Kachumbala,38,23661,149,179,158,68,7291,99,78,8993,790
1087,sub county,Kadungulu,87,11464,138,156,77,27,3661,17,38,3950,457
1446,sub county,Kagadi,59,5659,17,30,15,8,648,10,7,3358,218
1897,sub county,Kaharo,56,10492,22,41,50,6,2158,8,8,5403,345
1356,sub county,Kahunge,64,16761,41,67,29,7,1192,13,12,9862,306
1585,sub county,Kakabara,70,19291,42,60,31,24,1574,5,13,11358,601
1712,sub county,Kakanju,103,12004,24,37,28,12,2556,16,11,5783,253
1447,sub county,Kakindo,59,23666,66,92,124,35,1360,23,17,12176,1069
2200,sub county,Kakindu,29,7563,60,70,49,11,1961,11,12,3289,264
,sub county,Kakira Town Council,,17245,31,31,21,6,4915,6,94,4720,428
1644,sub county,Kalagala,21,17515,131,70,39,18,5578,24,28,5038,564
,sub county,Kalangala Town Council,,2888,21,17,5,4,814,3,4,1125,71
1047,sub county,Kalisizo,24,8324,130,55,26,9,2620,17,21,2710,250
901,sub county,Kalungi,23,8956,31,22,13,9,769,7,17,5838,356
,sub county,Kamukuzi,,16115,17,68,7,26,4443,6,11,4880,105
1893,sub county,Kamwezi,56,13744,20,20,14,12,1636,5,7,8260,186
1526,sub county,Kanaba,60,7484,7,19,75,6,433,2,4,5178,342
1551,sub county,Kanyum,86,16838,264,165,135,70,5315,65,92,5670,678
2267,sub county,Kapeeka,30,11597,75,45,52,14,1443,11,20,5459,384
1197,sub county,Kapelebyong,36,7074,77,95,41,23,1468,18,28,3400,226
1391,sub county,Kaptanya,90,3095,13,6,5,1,644,4,1,1682,118
2091,sub county,Karita,110,12051,7,4,5,1,117,0,9,7978,66
1226,sub county,Karugutu,106,2578,27,20,11,10,864,5,7,643,69
1659,sub county,Kasagama,28,5451,11,10,3,4,512,2,6,3283,74
1033,sub county,Kasasa,24,7513,92,51,19,12,1945,16,29,2743,210
1504,sub county,Kashongi,4,12430,9,26,7,6,1186,5,5,8508,286
1847,sub county,Kashumba,3,12103,16,24,21,6,1698,9,9,6758,184
1696,sub county,Kasitu,107,8621,54,54,16,26,2215,11,24,3621,313
2237,sub county,Kassanda,22,18852,110,104,39,35,3679,37,31,9110,479
1150,sub county,Katabi,27,51787,472,232,60,47,17115,40,66,9986,1184
1433,sub county,Katakwi,32,15679,137,142,99,36,3939,54,55,6547,940
1088,sub county,Kateta,87,20452,174,176,85,61,6285,50,57,7565,710
1640,sub county,Katikamu,21,18038,123,90,74,20,5517,37,36,5651,637
